Ave verum corpus,Wills,Arthur,,SS,TRUE,,,Shelf,EAC2
Ave verum corpus,Mozart,Wolfgang,,S(A)(T)(B),TRUE,,,Shelf,EFA
Ave verum corpus,Lassus,Orlande,,SSATTB,FALSE,,,Shelf,ESM
Ave verum corpus,Mozart,,,SATB,TRUE,,,Shelf,ESM
Ave virgo sanctissima,Guerrero,Francisco,,SSATB,FALSE,,,Shelf,ESM
Awake us Lord and hasten,Bach,,,SATB,TRUE,,,Shelf,AFC1
Awake us O Lord and hasten,Bach,,,SATB,TRUE,,,Cab 2 22,
Aware my soul,Bach,,,SATB,TRUE,,,Shelf,TGOL
Banish fear and sadness,Bach,,,SATB,TRUE,,,Shelf,CAB
Be glad in the Lord and rejoice,Pascoe,Russell,,V1(2),TRUE,,,Shelf,EFA
Be still and know that I am God,Anon,,How Martin,SATB,TRUE,,,Shelf,SWAMS
Be still for the presence of the Lord,Evans,David,Shephard  Richard,SA(Men),TRUE,,,Shelf,FA1
Be still for the presence of the Lord,Evans,Dave,,SATB,TRUE,,,Shelf,SWAMS
Be strong and of good courage,Cambell,Sidney,,SATB,TRUE,,,Shelf,FSB7
Be strong in the Lord,Nicholson,,,SATB,TRUE,,,Shelf,AUPS1
Be thou my vision,Chilcott,Bob,,V1(2),TRUE,,,Shelf,EFA
Beati quorum via,Stanford,,,SATB,TRUE,,,Cab 2 46,
Beato mundo corde,Ives,Grayston,,SATB,TRUE,,,Shelf,SHSJ
Beatus vir,Monteverdi,Claudio,,SSATTB,TRUE,,,Shelf,ESM
Before the ending of the day,Andrew,Kerry,,S(A)(TB),TRUE,,,Shelf,EFA
Behold now praise the Lord,Wills,Arthur,,SATB,TRUE,,,Shelf,CSB5
Behold the great creator,15th century English Carol,,A Baldwin,SATB,TRUE,,,Cab 2 C99,
Behold the tabernacle,Harris,,,SATB,TRUE,,,Cab 1 42,
"Behold, how good and joyful",Clarke-Whitfield,John,,SATB,TRUE,,,Shelf,AFC1
Benedicte,Lloyd,,,SATB,TRUE,,,Cab 2 9A,
Benedicte (Bb),Sumsion,,,SATB,TRUE,,,Shelf,RSCM fest 1995
Benedictus in C,Stanford,Charles,,SATB,TRUE,,,Shelf,SHSJ
"Bethlehem , of noblest cities",Bullard,Alan,,S(A)(T)(B),TRUE,,,Shelf,EFA
Bind us together Lord,Gilman,Bernard,,SATB,TRUE,,,Shelf,SWAMS
Bless the Lord all his angels,Frith,Michael,,SATB,TRUE,,,Shelf,FSB7
Blessed are the pure in heart,Davies,Walford,,SATB,TRUE,,,Shelf,CAB
Blessed are the pure in heart,Davies,Walford,,SATB,TRUE,,,Cab 1 84,
Blessed are they that mourn,Brahms,,,SATB,TRUE,,,Shelf,CAB
Blessed be the God,,,,SATB,TRUE,,,Shelf,CAB
Blessed be the God,Wesley,,,SATB,TRUE,,,Cab 1 25,
"Blessed City ,heavenly salem",Bairstow,Edward,,SATB,TRUE,,,Shelf,E&EL2017
Blessed word of God incarnate,Pearsall,,,SATB,FALSE,,,Shelf,MFHC
Blest are the departed GL,Spohr,,,SATB,TRUE,,,Cab 1 81,
Blest are the pure in heart,Baldwyn,Antony,,Unison,TRUE,,,Shelf,EFA
Blest withouten match,-,,Woodward GR,SATB,TRUE,,,Cab 2 C56,
Bogoroditsye dyevo,Rachmaninov,Sergei,,SATB (div),FALSE,,,Shelf,ESM
Bow down thine ear O Lord,Arensky,,,SATB,TRUE,,,Shelf,CAB
Bread of the World,Trad,,Bullard Alan,S(A)(T)(B),TRUE,,,Shelf,FA1
Break forth O beuteous heavenly light,Bach,,,SATB,TRUE,,,Shelf,FSB3
Break forth O beuteous heavenly light,Bach,,,SATB,TRUE,,,Cab 2 C53,
Breathe on me,Statham,Heathcote,,SATB,FALSE,,,Cab 1 52,
Brightest and best of the sons of the morning,Archer,Malcolm,,C,TRUE,,,Shelf,FA1
Broken for me broken for you,Lunt,Janet,,SATB,TRUE,,,Shelf,SWAMS
Broken for me broken for you,Sanders,John,,SATB,TRUE,,,Shelf,SWAMS
Brother Jame's Air,Bain,James,Mack Wilberg,S(A)(T)(B) or TB,TRUE,,,Shelf,EFA
Brother Jame's Air,Bain,,Jacob Gordon,SATB,TRUE,,,Shelf,KoGKoP
Brother James air,Marosa,,,SATB,TRUE,,,Cab 1 4,
